phenotype	locusname	ensg	symbol	TP	FLAMES	rel_MAGMA_Z	rel_PoPS_Score	rel_weighted_distance
GCST000568	annotated_credset_1.txt	ENSG00000198648	STK39	0	-0.8237206402316085	0.0	0.6508699821326901	0.1086781440388095
GCST000568	annotated_credset_1.txt	ENSG00000172292	CERS6	0	-1.1429829138395866	0.0	0.2424571530945295	0.8220001164070294
GCST000568	annotated_credset_1.txt	ENSG00000163072	NOSTRIN	0	-0.7585441595128444	0.0	0.9997937720080234	0.9443357828440404
GCST000568	annotated_credset_1.txt	ENSG00000152253	SPC25	0	-0.0493355921929271	0.0	0.232210440301117	1.0
GCST000568	annotated_credset_1.txt	ENSG00000152254	G6PC2	1	0.0493355921929271	0.0	0.3578355468047591	1.0
GCST000568	annotated_credset_1.txt	ENSG00000073734	ABCB11	0	-1.0360824270587297	0.0	0.4025383080641714	0.9779368072258988
GCST000568	annotated_credset_1.txt	ENSG00000073737	DHRS9	0	-1.0666599926747826	0.0	0.3951029954241372	0.7859315337167546
GCST000568	annotated_credset_1.txt	ENSG00000081479	LRP2	0	-1.266644194358714	0.0	0.0	0.7015770445338102
GCST000568	annotated_credset_1.txt	ENSG00000163093	BBS5	0	-0.9673821313439128	0.0	0.6105506744152228	0.2250269698844186
GCST000568	annotated_credset_1.txt	ENSG00000251569	RP11-724O16.1	0	-1.0566660968159178	0.0	0.4319827434712125	0.2246181917115488
GCST000568	annotated_credset_1.txt	ENSG00000239474	KLHL41	0	-1.01188278160737	0.0	0.5215493738883081	0.183710595882169
GCST000568	annotated_credset_1.txt	ENSG00000138399	FASTKD1	0	-0.7726574685515241	0.0	1.0	0.156575575910242
GCST000568	annotated_credset_1.txt	ENSG00000138398	PPIG	0	-0.8454261133575625	0.0	0.8544627103879232	0.0826828300985263
GCST000568	annotated_credset_1.txt	ENSG00000154479	CCDC173	0	-0.9890510611852074	0.0	0.565977389260374	0.0
GCST000679	annotated_credset_1.txt	ENSG00000198799	LRIG2	0	-0.5255414882272793	0.0	0.5502409255418759	0.0850602310483796
GCST000679	annotated_credset_1.txt	ENSG00000081026	MAGI3	0	-0.2921608981417719	0.0	1.0	0.81595834146648
GCST000679	annotated_credset_1.txt	ENSG00000116793	PHTF1	0	-0.472207830073262	0.0	0.3853184858379475	0.913073825779172
GCST000679	annotated_credset_1.txt	ENSG00000081019	RSBN1	0	-0.5996471122660273	0.0	0.2678457937973878	0.9830226902991488
GCST000679	annotated_credset_1.txt	ENSG00000134242	PTPN22	1	0.2921608981417719	0.0	0.30561649677241	1.0
GCST000679	annotated_credset_1.txt	ENSG00000188761	BCL2L15	0	-0.4701638824778946	0.0	0.4148990491805378	0.9302564006468133
GCST000679	annotated_credset_1.txt	ENSG00000134262	AP4B1	0	-0.51848625301957	0.0	0.1901344817803536	0.9083689155327056
GCST000679	annotated_credset_1.txt	ENSG00000118655	DCLRE1B	0	-0.3349480220579625	0.0	0.3542453265236978	0.8946489738685972
GCST000679	annotated_credset_1.txt	ENSG00000163349	HIPK1	0	-0.3789017150957674	0.0	0.3630103561814255	0.8628989193161606
GCST000679	annotated_credset_1.txt	ENSG00000116774	OLFML3	0	-0.4426269280888314	0.0	0.3686417239803926	0.7965645261015171
GCST000679	annotated_credset_1.txt	ENSG00000134207	SYT6	0	-0.7100864128065628	0.0	0.1778903446862264	0.6515500363678193
GCST000679	annotated_credset_1.txt	ENSG00000197323	TRIM33	0	-0.6575983315842618	0.0	0.1865496927082208	0.2509140105933904
GCST000679	annotated_credset_1.txt	ENSG00000116752	BCAS2	0	-0.6752766303815938	0.0	0.2507706412332469	0.0201858585572869
GCST000679	annotated_credset_1.txt	ENSG00000175984	DENND2C	0	-0.7996913489626948	0.0	0.0	0.0
GCST000760	annotated_credset_1.txt	ENSG00000162636	FAM102B	0	-0.6155211891598941	0.0	0.0078785458093739	0.1092251786886401
GCST000760	annotated_credset_1.txt	ENSG00000162639	HENMT1	0	-0.2969209852892843	0.0	0.7050773466093704	0.1327014760321016
GCST000760	annotated_credset_1.txt	ENSG00000134186	PRPF38B	0	-0.4515430153626377	0.0	0.404794725595354	0.1895735335385733
GCST000760	annotated_credset_1.txt	ENSG00000143107	FNDC7	0	-0.4902843986717652	0.0	0.3183505198444085	0.247381762411502
GCST000760	annotated_credset_1.txt	ENSG00000116266	STXBP3	0	-0.4643106985446074	0.0	0.3859598749784849	0.3416809062517755
GCST000760	annotated_credset_1.txt	ENSG00000162641	AKNAD1	0	-0.4111380158223651	0.0	0.5018598649804646	0.5590731705609684
